taskId,sourceNodeId,destNodeId,dataSize(Byte),opType,priority,delay,phaseId,dependOnPhases,sourcePod,destPod,isCrossPod,logicalRound,basePlane,actualPlane,sourcePlanePrevPhase,recvPlanePrevPhase
0,0,1,1296090,URMA_WRITE,7,0ns,0,,0,0,0,,,,,
1,0,2,1366607,URMA_WRITE,7,0ns,1,,0,0,0,,,,,
2,0,3,1156753,URMA_WRITE,7,0ns,2,,0,0,0,,,,,
3,0,4,1048576,URMA_WRITE,6,0ns,3,10,0,1,1,2,3,3,10,
4,0,5,1550716,URMA_WRITE,4,0ns,4,,0,1,1,0,1,1,,
5,0,6,1211076,URMA_WRITE,3,0ns,5,7,0,1,1,1,0,0,7,
6,0,7,1143052,URMA_WRITE,3,0ns,6,5,0,1,1,2,0,0,5,
7,0,8,1572864,URMA_WRITE,3,0ns,7,,0,2,1,0,0,0,,
8,0,9,1069355,URMA_WRITE,5,0ns,8,14,0,2,1,2,2,2,14,
9,0,10,1469674,URMA_WRITE,5,0ns,9,,0,2,1,0,2,2,,
10,0,11,1352008,URMA_WRITE,6,0ns,10,13,0,2,1,1,3,3,13,
11,0,12,1110281,URMA_WRITE,4,0ns,11,12,0,3,1,2,1,1,12,
12,0,13,1281284,URMA_WRITE,4,0ns,12,4,0,3,1,1,1,1,4,
13,0,14,1426320,URMA_WRITE,6,0ns,13,,0,3,1,0,3,3,,
14,0,15,1338698,URMA_WRITE,5,0ns,14,9,0,3,1,1,2,2,9,
15,1,0,1229627,URMA_WRITE,7,0ns,15,,0,0,0,,,,,
16,1,2,1159917,URMA_WRITE,7,0ns,16,,0,0,0,,,,,
17,1,3,1323008,URMA_WRITE,7,0ns,17,,0,0,0,,,,,
18,1,4,1273391,URMA_WRITE,3,0ns,18,29,0,1,1,1,0,0,29,
19,1,5,1075461,URMA_WRITE,6,0ns,19,25,0,1,1,2,3,3,25,
20,1,6,1321472,URMA_WRITE,4,0ns,20,26,0,1,1,1,1,1,26,
21,1,7,1333524,URMA_WRITE,5,0ns,21,28,0,1,1,1,2,2,28,
22,1,8,1251407,URMA_WRITE,3,0ns,22,18,0,2,1,2,0,0,18,
23,1,9,1221400,URMA_WRITE,4,0ns,23,20,0,2,1,2,1,1,20,
24,1,10,1373477,URMA_WRITE,6,0ns,24,,0,2,1,0,3,3,,
25,1,11,1352286,URMA_WRITE,6,0ns,25,24,0,2,1,1,3,3,24,
