taskId,sourceNodeId,destNodeId,dataSize(Byte),opType,priority,delay,phaseId,dependOnPhases,taskStartTime(us),taskCompletesTime(us),firstPacketSends(us),lastPacketACKs(us),taskThroughput(Gbps)
0,0,1,2130441,URMA_WRITE,7,0ns,0,,0.0,44.1682,0.001,44.17128,385.8778
1,1,2,2130441,URMA_WRITE,7,0ns,1,,0.0,44.1682,0.001,44.17128,385.8778
2,2,3,2130441,URMA_WRITE,7,0ns,2,,0.0,44.1682,0.001,44.17128,385.8778
3,3,4,2130441,URMA_WRITE,7,0ns,3,,0.0,44.1682,0.001,44.17128,385.8778
4,4,5,2130441,URMA_WRITE,7,0ns,4,,0.0,44.1682,0.001,44.17128,385.8778
5,5,6,2130441,URMA_WRITE,7,0ns,5,,0.0,44.1682,0.001,44.17128,385.8778
6,6,7,2130441,URMA_WRITE,7,0ns,6,,0.0,44.1682,0.001,44.17128,385.8778
7,7,0,2130441,URMA_WRITE,7,0ns,7,,0.0,44.1682,0.001,44.17128,385.8778
8,8,9,2130440,URMA_WRITE,7,0ns,8,,0.0,44.16818,0.001,44.17126,385.8778
9,9,10,2130440,URMA_WRITE,7,0ns,9,,0.0,44.16818,0.001,44.17126,385.8778
10,10,11,2130440,URMA_WRITE,7,0ns,10,,0.0,44.16818,0.001,44.17126,385.8778
11,11,12,2130440,URMA_WRITE,7,0ns,11,,0.0,44.16818,0.001,44.17126,385.8778
12,12,13,2130440,URMA_WRITE,7,0ns,12,,0.0,44.16818,0.001,44.17126,385.8778
13,13,14,2130440,URMA_WRITE,7,0ns,13,,0.0,44.16818,0.001,44.17126,385.8778
14,14,15,2130440,URMA_WRITE,7,0ns,14,,0.0,44.16818,0.001,44.17126,385.8778
15,15,8,2130440,URMA_WRITE,7,0ns,15,,0.0,44.16818,0.001,44.17126,385.8778
16,16,17,2130440,URMA_WRITE,7,0ns,16,,0.0,44.16818,0.001,44.17126,385.8778
17,17,18,2130440,URMA_WRITE,7,0ns,17,,0.0,44.16818,0.001,44.17126,385.8778
18,18,19,2130440,URMA_WRITE,7,0ns,18,,0.0,44.16818,0.001,44.17126,385.8778
19,19,20,2130440,URMA_WRITE,7,0ns,19,,0.0,44.16818,0.001,44.17126,385.8778
20,20,21,2130440,URMA_WRITE,7,0ns,20,,0.0,44.16818,0.001,44.17126,385.8778
21,21,22,2130440,URMA_WRITE,7,0ns,21,,0.0,44.16818,0.001,44.17126,385.8778
22,22,23,2130440,URMA_WRITE,7,0ns,22,,0.0,44.16818,0.001,44.17126,385.8778
23,23,16,2130440,URMA_WRITE,7,0ns,23,,0.0,44.16818,0.001,44.17126,385.8778
24,24,25,2130440,URMA_WRITE,7,0ns,24,,0.0,44.16818,0.001,44.17126,385.8778
25,25,26,2130440,URMA_WRITE,7,0ns,25,,0.0,44.16818,0.001,44.17126,385.8778
26,26,27,2130440,URMA_WRITE,7,0ns,26,,0.0,44.16818,0.001,44.17126,385.8778
27,27,28,2130440,URMA_WRITE,7,0ns,27,,0.0,44.16818,0.001,44.17126,385.8778
28,28,29,2130440,URMA_WRITE,7,0ns,28,,0.0,44.16818,0.001,44.17126,385.8778
29,29,30,2130440,URMA_WRITE,7,0ns,29,,0.0,44.16818,0.001,44.17126,385.8778
30,30,31,2130440,URMA_WRITE,7,0ns,30,,0.0,44.16818,0.001,44.17126,385.8778
31,31,24,2130440,URMA_WRITE,7,0ns,31,,0.0,44.16818,0.001,44.17126,385.8778
32,32,33,2130440,URMA_WRITE,7,0ns,32,,0.0,44.16818,0.001,44.17126,385.8778
33,33,34,2130440,URMA_WRITE,7,0ns,33,,0.0,44.16818,0.001,44.17126,385.8778
34,34,35,2130440,URMA_WRITE,7,0ns,34,,0.0,44.16818,0.001,44.17126,385.8778
35,35,36,2130440,URMA_WRITE,7,0ns,35,,0.0,44.16818,0.001,44.17126,385.8778
36,36,37,2130440,URMA_WRITE,7,0ns,36,,0.0,44.16818,0.001,44.17126,385.8778
37,37,38,2130440,URMA_WRITE,7,0ns,37,,0.0,44.16818,0.001,44.17126,385.8778
38,38,39,2130440,URMA_WRITE,7,0ns,38,,0.0,44.16818,0.001,44.17126,385.8778
39,39,32,2130440,URMA_WRITE,7,0ns,39,,0.0,44.16818,0.001,44.17126,385.8778
40,40,41,2130440,URMA_WRITE,7,0ns,40,,0.0,44.16818,0.001,44.17126,385.8778
41,41,42,2130440,URMA_WRITE,7,0ns,41,,0.0,44.16818,0.001,44.17126,385.8778
42,42,43,2130440,URMA_WRITE,7,0ns,42,,0.0,44.16818,0.001,44.17126,385.8778
43,43,44,2130440,URMA_WRITE,7,0ns,43,,0.0,44.16818,0.001,44.17126,385.8778
44,44,45,2130440,URMA_WRITE,7,0ns,44,,0.0,44.16818,0.001,44.17126,385.8778
45,45,46,2130440,URMA_WRITE,7,0ns,45,,0.0,44.16818,0.001,44.17126,385.8778
46,46,47,2130440,URMA_WRITE,7,0ns,46,,0.0,44.16818,0.001,44.17126,385.8778
47,47,40,2130440,URMA_WRITE,7,0ns,47,,0.0,44.16818,0.001,44.17126,385.8778
48,48,49,2130440,URMA_WRITE,7,0ns,48,,0.0,44.16818,0.001,44.17126,385.8778
49,49,50,2130440,URMA_WRITE,7,0ns,49,,0.0,44.16818,0.001,44.17126,385.8778
50,50,51,2130440,URMA_WRITE,7,0ns,50,,0.0,44.16818,0.001,44.17126,385.8778
51,51,52,2130440,URMA_WRITE,7,0ns,51,,0.0,44.16818,0.001,44.17126,385.8778
52,52,53,2130440,URMA_WRITE,7,0ns,52,,0.0,44.16818,0.001,44.17126,385.8778
53,53,54,2130440,URMA_WRITE,7,0ns,53,,0.0,44.16818,0.001,44.17126,385.8778
54,54,55,2130440,URMA_WRITE,7,0ns,54,,0.0,44.16818,0.001,44.17126,385.8778
55,55,48,2130440,URMA_WRITE,7,0ns,55,,0.0,44.16818,0.001,44.17126,385.8778
56,56,57,2130440,URMA_WRITE,7,0ns,56,,0.0,44.16818,0.001,44.17126,385.8778
57,57,58,2130440,URMA_WRITE,7,0ns,57,,0.0,44.16818,0.001,44.17126,385.8778
58,58,59,2130440,URMA_WRITE,7,0ns,58,,0.0,44.16818,0.001,44.17126,385.8778
59,59,60,2130440,URMA_WRITE,7,0ns,59,,0.0,44.16818,0.001,44.17126,385.8778
60,60,61,2130440,URMA_WRITE,7,0ns,60,,0.0,44.16818,0.001,44.17126,385.8778
61,61,62,2130440,URMA_WRITE,7,0ns,61,,0.0,44.16818,0.001,44.17126,385.8778
62,62,63,2130440,URMA_WRITE,7,0ns,62,,0.0,44.16818,0.001,44.17126,385.8778
63,63,56,2130440,URMA_WRITE,7,0ns,63,,0.0,44.16818,0.001,44.17126,385.8778
64,0,2,2130441,URMA_WRITE,7,0ns,64,,0.0,44.1682,0.001,44.17128,385.8778
65,1,3,2130441,URMA_WRITE,7,0ns,65,,0.0,44.1682,0.001,44.17128,385.8778
66,2,4,2130441,URMA_WRITE,7,0ns,66,,0.0,44.1682,0.001,44.17128,385.8778
67,3,5,2130441,URMA_WRITE,7,0ns,67,,0.0,44.1682,0.001,44.17128,385.8778
68,4,6,2130441,URMA_WRITE,7,0ns,68,,0.0,44.1682,0.001,44.17128,385.8778
69,5,7,2130441,URMA_WRITE,7,0ns,69,,0.0,44.1682,0.001,44.17128,385.8778
70,6,0,2130441,URMA_WRITE,7,0ns,70,,0.0,44.1682,0.001,44.17128,385.8778
71,7,1,2130441,URMA_WRITE,7,0ns,71,,0.0,44.1682,0.001,44.17128,385.8778
72,8,10,2130440,URMA_WRITE,7,0ns,72,,0.0,44.16818,0.001,44.17126,385.8778
73,9,11,2130440,URMA_WRITE,7,0ns,73,,0.0,44.16818,0.001,44.17126,385.8778
74,10,12,2130440,URMA_WRITE,7,0ns,74,,0.0,44.16818,0.001,44.17126,385.8778
75,11,13,2130440,URMA_WRITE,7,0ns,75,,0.0,44.16818,0.001,44.17126,385.8778
76,12,14,2130440,URMA_WRITE,7,0ns,76,,0.0,44.16818,0.001,44.17126,385.8778
77,13,15,2130440,URMA_WRITE,7,0ns,77,,0.0,44.16818,0.001,44.17126,385.8778
78,14,8,2130440,URMA_WRITE,7,0ns,78,,0.0,44.16818,0.001,44.17126,385.8778
79,15,9,2130440,URMA_WRITE,7,0ns,79,,0.0,44.16818,0.001,44.17126,385.8778
80,16,18,2130440,URMA_WRITE,7,0ns,80,,0.0,44.16818,0.001,44.17126,385.8778
81,17,19,2130440,URMA_WRITE,7,0ns,81,,0.0,44.16818,0.001,44.17126,385.8778
82,18,20,2130440,URMA_WRITE,7,0ns,82,,0.0,44.16818,0.001,44.17126,385.8778
83,19,21,2130440,URMA_WRITE,7,0ns,83,,0.0,44.16818,0.001,44.17126,385.8778
84,20,22,2130440,URMA_WRITE,7,0ns,84,,0.0,44.16818,0.001,44.17126,385.8778
85,21,23,2130440,URMA_WRITE,7,0ns,85,,0.0,44.16818,0.001,44.17126,385.8778
86,22,16,2130440,URMA_WRITE,7,0ns,86,,0.0,44.16818,0.001,44.17126,385.8778
87,23,17,2130440,URMA_WRITE,7,0ns,87,,0.0,44.16818,0.001,44.17126,385.8778
88,24,26,2130440,URMA_WRITE,7,0ns,88,,0.0,44.16818,0.001,44.17126,385.8778
89,25,27,2130440,URMA_WRITE,7,0ns,89,,0.0,44.16818,0.001,44.17126,385.8778
90,26,28,2130440,URMA_WRITE,7,0ns,90,,0.0,44.16818,0.001,44.17126,385.8778
91,27,29,2130440,URMA_WRITE,7,0ns,91,,0.0,44.16818,0.001,44.17126,385.8778
92,28,30,2130440,URMA_WRITE,7,0ns,92,,0.0,44.16818,0.001,44.17126,385.8778
93,29,31,2130440,URMA_WRITE,7,0ns,93,,0.0,44.16818,0.001,44.17126,385.8778
94,30,24,2130440,URMA_WRITE,7,0ns,94,,0.0,44.16818,0.001,44.17126,385.8778
95,31,25,2130440,URMA_WRITE,7,0ns,95,,0.0,44.16818,0.001,44.17126,385.8778
96,32,34,2130440,URMA_WRITE,7,0ns,96,,0.0,44.16818,0.001,44.17126,385.8778
97,33,35,2130440,URMA_WRITE,7,0ns,97,,0.0,44.16818,0.001,44.17126,385.8778
98,34,36,2130440,URMA_WRITE,7,0ns,98,,0.0,44.16818,0.001,44.17126,385.8778
99,35,37,2130440,URMA_WRITE,7,0ns,99,,0.0,44.16818,0.001,44.17126,385.8778
100,36,38,2130440,URMA_WRITE,7,0ns,100,,0.0,44.16818,0.001,44.17126,385.8778
101,37,39,2130440,URMA_WRITE,7,0ns,101,,0.0,44.16818,0.001,44.17126,385.8778
102,38,32,2130440,URMA_WRITE,7,0ns,102,,0.0,44.16818,0.001,44.17126,385.8778
103,39,33,2130440,URMA_WRITE,7,0ns,103,,0.0,44.16818,0.001,44.17126,385.8778
104,40,42,2130440,URMA_WRITE,7,0ns,104,,0.0,44.16818,0.001,44.17126,385.8778
105,41,43,2130440,URMA_WRITE,7,0ns,105,,0.0,44.16818,0.001,44.17126,385.8778
106,42,44,2130440,URMA_WRITE,7,0ns,106,,0.0,44.16818,0.001,44.17126,385.8778
107,43,45,2130440,URMA_WRITE,7,0ns,107,,0.0,44.16818,0.001,44.17126,385.8778
108,44,46,2130440,URMA_WRITE,7,0ns,108,,0.0,44.16818,0.001,44.17126,385.8778
109,45,47,2130440,URMA_WRITE,7,0ns,109,,0.0,44.16818,0.001,44.17126,385.8778
110,46,40,2130440,URMA_WRITE,7,0ns,110,,0.0,44.16818,0.001,44.17126,385.8778
111,47,41,2130440,URMA_WRITE,7,0ns,111,,0.0,44.16818,0.001,44.17126,385.8778
112,48,50,2130440,URMA_WRITE,7,0ns,112,,0.0,44.16818,0.001,44.17126,385.8778
113,49,51,2130440,URMA_WRITE,7,0ns,113,,0.0,44.16818,0.001,44.17126,385.8778
114,50,52,2130440,URMA_WRITE,7,0ns,114,,0.0,44.16818,0.001,44.17126,385.8778
115,51,53,2130440,URMA_WRITE,7,0ns,115,,0.0,44.16818,0.001,44.17126,385.8778
116,52,54,2130440,URMA_WRITE,7,0ns,116,,0.0,44.16818,0.001,44.17126,385.8778
117,53,55,2130440,URMA_WRITE,7,0ns,117,,0.0,44.16818,0.001,44.17126,385.8778
118,54,48,2130440,URMA_WRITE,7,0ns,118,,0.0,44.16818,0.001,44.17126,385.8778
119,55,49,2130440,URMA_WRITE,7,0ns,119,,0.0,44.16818,0.001,44.17126,385.8778
120,56,58,2130440,URMA_WRITE,7,0ns,120,,0.0,44.16818,0.001,44.17126,385.8778
121,57,59,2130440,URMA_WRITE,7,0ns,121,,0.0,44.16818,0.001,44.17126,385.8778
122,58,60,2130440,URMA_WRITE,7,0ns,122,,0.0,44.16818,0.001,44.17126,385.8778
123,59,61,2130440,URMA_WRITE,7,0ns,123,,0.0,44.16818,0.001,44.17126,385.8778
124,60,62,2130440,URMA_WRITE,7,0ns,124,,0.0,44.16818,0.001,44.17126,385.8778
125,61,63,2130440,URMA_WRITE,7,0ns,125,,0.0,44.16818,0.001,44.17126,385.8778
126,62,56,2130440,URMA_WRITE,7,0ns,126,,0.0,44.16818,0.001,44.17126,385.8778
127,63,57,2130440,URMA_WRITE,7,0ns,127,,0.0,44.16818,0.001,44.17126,385.8778
128,0,3,2130441,URMA_WRITE,7,0ns,128,,0.0,44.1682,0.001,44.17128,385.8778
129,1,4,2130441,URMA_WRITE,7,0ns,129,,0.0,44.1682,0.001,44.17128,385.8778
130,2,5,2130441,URMA_WRITE,7,0ns,130,,0.0,44.1682,0.001,44.17128,385.8778
131,3,6,2130441,URMA_WRITE,7,0ns,131,,0.0,44.1682,0.001,44.17128,385.8778
132,4,7,2130441,URMA_WRITE,7,0ns,132,,0.0,44.1682,0.001,44.17128,385.8778
133,5,0,2130441,URMA_WRITE,7,0ns,133,,0.0,44.1682,0.001,44.17128,385.8778
134,6,1,2130441,URMA_WRITE,7,0ns,134,,0.0,44.1682,0.001,44.17128,385.8778
135,7,2,2130441,URMA_WRITE,7,0ns,135,,0.0,44.1682,0.001,44.17128,385.8778
136,8,11,2130440,URMA_WRITE,7,0ns,136,,0.0,44.16818,0.001,44.17126,385.8778
137,9,12,2130440,URMA_WRITE,7,0ns,137,,0.0,44.16818,0.001,44.17126,385.8778
138,10,13,2130440,URMA_WRITE,7,0ns,138,,0.0,44.16818,0.001,44.17126,385.8778
139,11,14,2130440,URMA_WRITE,7,0ns,139,,0.0,44.16818,0.001,44.17126,385.8778
140,12,15,2130440,URMA_WRITE,7,0ns,140,,0.0,44.16818,0.001,44.17126,385.8778
141,13,8,2130440,URMA_WRITE,7,0ns,141,,0.0,44.16818,0.001,44.17126,385.8778
142,14,9,2130440,URMA_WRITE,7,0ns,142,,0.0,44.16818,0.001,44.17126,385.8778
143,15,10,2130440,URMA_WRITE,7,0ns,143,,0.0,44.16818,0.001,44.17126,385.8778
144,16,19,2130440,URMA_WRITE,7,0ns,144,,0.0,44.16818,0.001,44.17126,385.8778
145,17,20,2130440,URMA_WRITE,7,0ns,145,,0.0,44.16818,0.001,44.17126,385.8778
146,18,21,2130440,URMA_WRITE,7,0ns,146,,0.0,44.16818,0.001,44.17126,385.8778
147,19,22,2130440,URMA_WRITE,7,0ns,147,,0.0,44.16818,0.001,44.17126,385.8778
148,20,23,2130440,URMA_WRITE,7,0ns,148,,0.0,44.16818,0.001,44.17126,385.8778
149,21,16,2130440,URMA_WRITE,7,0ns,149,,0.0,44.16818,0.001,44.17126,385.8778
150,22,17,2130440,URMA_WRITE,7,0ns,150,,0.0,44.16818,0.001,44.17126,385.8778
151,23,18,2130440,URMA_WRITE,7,0ns,151,,0.0,44.16818,0.001,44.17126,385.8778
152,24,27,2130440,URMA_WRITE,7,0ns,152,,0.0,44.16818,0.001,44.17126,385.8778
153,25,28,2130440,URMA_WRITE,7,0ns,153,,0.0,44.16818,0.001,44.17126,385.8778
154,26,29,2130440,URMA_WRITE,7,0ns,154,,0.0,44.16818,0.001,44.17126,385.8778
155,27,30,2130440,URMA_WRITE,7,0ns,155,,0.0,44.16818,0.001,44.17126,385.8778
156,28,31,2130440,URMA_WRITE,7,0ns,156,,0.0,44.16818,0.001,44.17126,385.8778
157,29,24,2130440,URMA_WRITE,7,0ns,157,,0.0,44.16818,0.001,44.17126,385.8778
158,30,25,2130440,URMA_WRITE,7,0ns,158,,0.0,44.16818,0.001,44.17126,385.8778
159,31,26,2130440,URMA_WRITE,7,0ns,159,,0.0,44.16818,0.001,44.17126,385.8778
160,32,35,2130440,URMA_WRITE,7,0ns,160,,0.0,44.16818,0.001,44.17126,385.8778
161,33,36,2130440,URMA_WRITE,7,0ns,161,,0.0,44.16818,0.001,44.17126,385.8778
162,34,37,2130440,URMA_WRITE,7,0ns,162,,0.0,44.16818,0.001,44.17126,385.8778
163,35,38,2130440,URMA_WRITE,7,0ns,163,,0.0,44.16818,0.001,44.17126,385.8778
164,36,39,2130440,URMA_WRITE,7,0ns,164,,0.0,44.16818,0.001,44.17126,385.8778
165,37,32,2130440,URMA_WRITE,7,0ns,165,,0.0,44.16818,0.001,44.17126,385.8778
166,38,33,2130440,URMA_WRITE,7,0ns,166,,0.0,44.16818,0.001,44.17126,385.8778
167,39,34,2130440,URMA_WRITE,7,0ns,167,,0.0,44.16818,0.001,44.17126,385.8778
168,40,43,2130440,URMA_WRITE,7,0ns,168,,0.0,44.16818,0.001,44.17126,385.8778
169,41,44,2130440,URMA_WRITE,7,0ns,169,,0.0,44.16818,0.001,44.17126,385.8778
