taskId,sourceNode,destNode,dataSize(Byte),opType,priority,delay,phaseId,dependOnPhases,srcEntityId,dstEntityId,srcPortHint,dstPortHint,taskStartTime(us),taskCompletesTime(us),firstPacketSends(us),lastPacketACKs(us),taskThroughput(Gbps)
0,0,1,8947849,URMA_WRITE,7,0ns,0,,0,0,0,0,0.0,186.88398,0.0,0.0,383.0333
1,1,2,8947849,URMA_WRITE,7,0ns,1,,0,0,1,1,0.0,186.88398,0.0,0.0,383.0333
2,2,3,8947849,URMA_WRITE,7,0ns,2,,0,0,2,2,0.0,186.88398,0.0,0.0,383.0333
3,3,0,8947849,URMA_WRITE,7,0ns,3,,0,0,0,2,0.0,186.88398,0.0,0.0,383.0333
4,4,5,8947849,URMA_WRITE,7,0ns,4,,0,0,0,0,0.0,186.88398,0.0,0.0,383.0333
5,5,6,8947849,URMA_WRITE,7,0ns,5,,0,0,1,1,0.0,186.88398,0.0,0.0,383.0333
6,6,7,8947849,URMA_WRITE,7,0ns,6,,0,0,2,2,0.0,186.88398,0.0,0.0,383.0333
7,7,4,8947849,URMA_WRITE,7,0ns,7,,0,0,0,2,0.0,186.88398,0.0,0.0,383.0333
8,8,9,8947848,URMA_WRITE,7,0ns,8,,0,0,0,0,0.0,186.88396,0.0,0.0,383.0333
9,9,10,8947848,URMA_WRITE,7,0ns,9,,0,0,1,1,0.0,186.88396,0.0,0.0,383.0333
10,10,11,8947848,URMA_WRITE,7,0ns,10,,0,0,2,2,0.0,186.88396,0.0,0.0,383.0333
11,11,8,8947848,URMA_WRITE,7,0ns,11,,0,0,0,2,0.0,186.88396,0.0,0.0,383.0333
12,12,13,8947848,URMA_WRITE,7,0ns,12,,0,0,0,0,0.0,186.88396,0.0,0.0,383.0333
13,13,14,8947848,URMA_WRITE,7,0ns,13,,0,0,1,1,0.0,186.88396,0.0,0.0,383.0333
14,14,15,8947848,URMA_WRITE,7,0ns,14,,0,0,2,2,0.0,186.88396,0.0,0.0,383.0333
15,15,12,8947848,URMA_WRITE,7,0ns,15,,0,0,0,2,0.0,186.88396,0.0,0.0,383.0333
16,0,2,8947849,URMA_WRITE,7,0ns,16,,0,0,1,0,0.0,186.88398,0.0,0.0,383.0333
17,1,3,8947849,URMA_WRITE,7,0ns,17,,0,0,2,1,0.0,186.88398,0.0,0.0,383.0333
18,2,0,8947849,URMA_WRITE,7,0ns,18,,0,0,0,1,0.0,186.88398,0.0,0.0,383.0333
19,3,1,8947849,URMA_WRITE,7,0ns,19,,0,0,1,2,0.0,186.88398,0.0,0.0,383.0333
20,4,6,8947849,URMA_WRITE,7,0ns,20,,0,0,1,0,0.0,186.88398,0.0,0.0,383.0333
21,5,7,8947849,URMA_WRITE,7,0ns,21,,0,0,2,1,0.0,186.88398,0.0,0.0,383.0333
22,6,4,8947849,URMA_WRITE,7,0ns,22,,0,0,0,1,0.0,186.88398,0.0,0.0,383.0333
23,7,5,8947849,URMA_WRITE,7,0ns,23,,0,0,1,2,0.0,186.88398,0.0,0.0,383.0333
24,8,10,8947848,URMA_WRITE,7,0ns,24,,0,0,1,0,0.0,186.88396,0.0,0.0,383.0333
25,9,11,8947848,URMA_WRITE,7,0ns,25,,0,0,2,1,0.0,186.88396,0.0,0.0,383.0333
