nodeId1,portId1,tpn1,nodeId2,portId2,tpn2,priority,metric
0,0,511,1,0,511,7,1
0,1,512,1,1,512,7,1
0,2,513,1,2,513,7,1
0,3,514,1,3,514,7,1
0,4,515,1,4,515,7,1
0,5,516,1,5,516,7,1
0,6,517,1,6,517,7,1
0,7,518,1,7,518,7,1
0,8,519,1,8,519,7,1
0,0,520,2,0,511,7,1
0,1,521,2,1,512,7,1
0,2,522,2,2,513,7,1
0,3,523,2,3,514,7,1
0,4,524,2,4,515,7,1
0,5,525,2,5,516,7,1
0,6,526,2,6,517,7,1
0,7,527,2,7,518,7,1
0,9,528,2,8,519,7,1
0,0,529,3,0,511,7,1
0,1,530,3,1,512,7,1
0,2,531,3,2,513,7,1
0,3,532,3,3,514,7,1
0,4,533,3,4,515,7,1
0,5,534,3,5,516,7,1
0,6,535,3,6,517,7,1
0,7,536,3,7,518,7,1
0,10,537,3,8,519,7,1
0,0,538,4,0,511,7,1
0,1,539,4,1,512,7,1
0,2,540,4,2,513,7,1
0,3,541,4,3,514,7,1
0,4,542,4,4,515,7,1
0,5,543,4,5,516,7,1
0,6,544,4,6,517,7,1
0,7,545,4,7,518,7,1
0,11,546,4,8,519,7,1
0,0,547,5,0,511,7,1
0,1,548,5,1,512,7,1
0,2,549,5,2,513,7,1
0,3,550,5,3,514,7,1
0,4,551,5,4,515,7,1
0,5,552,5,5,516,7,1
0,6,553,5,6,517,7,1
0,7,554,5,7,518,7,1
0,12,555,5,8,519,7,1
0,0,556,6,0,511,7,1
0,1,557,6,1,512,7,1
0,2,558,6,2,513,7,1
0,3,559,6,3,514,7,1
0,4,560,6,4,515,7,1
0,5,561,6,5,516,7,1
0,6,562,6,6,517,7,1
0,7,563,6,7,518,7,1
0,13,564,6,8,519,7,1
0,0,565,7,0,511,7,1
0,1,566,7,1,512,7,1
0,2,567,7,2,513,7,1
0,3,568,7,3,514,7,1
0,4,569,7,4,515,7,1
0,5,570,7,5,516,7,1
0,6,571,7,6,517,7,1
0,7,572,7,7,518,7,1
0,14,573,7,8,519,7,1
1,0,520,2,0,520,7,1
1,1,521,2,1,521,7,1
1,2,522,2,2,522,7,1
1,3,523,2,3,523,7,1
1,4,524,2,4,524,7,1
1,5,525,2,5,525,7,1
1,6,526,2,6,526,7,1
1,7,527,2,7,527,7,1
1,9,528,2,9,528,7,1
1,0,529,3,0,520,7,1
1,1,530,3,1,521,7,1
1,2,531,3,2,522,7,1
1,3,532,3,3,523,7,1
1,4,533,3,4,524,7,1
1,5,534,3,5,525,7,1
1,6,535,3,6,526,7,1
1,7,536,3,7,527,7,1
1,10,537,3,9,528,7,1
1,0,538,4,0,520,7,1
1,1,539,4,1,521,7,1
1,2,540,4,2,522,7,1
1,3,541,4,3,523,7,1
1,4,542,4,4,524,7,1
1,5,543,4,5,525,7,1
1,6,544,4,6,526,7,1
1,7,545,4,7,527,7,1
1,11,546,4,9,528,7,1
1,0,547,5,0,520,7,1
1,1,548,5,1,521,7,1
1,2,549,5,2,522,7,1
1,3,550,5,3,523,7,1
1,4,551,5,4,524,7,1
1,5,552,5,5,525,7,1
1,6,553,5,6,526,7,1
1,7,554,5,7,527,7,1
1,12,555,5,9,528,7,1
1,0,556,6,0,520,7,1
1,1,557,6,1,521,7,1
1,2,558,6,2,522,7,1
1,3,559,6,3,523,7,1
1,4,560,6,4,524,7,1
1,5,561,6,5,525,7,1
1,6,562,6,6,526,7,1
1,7,563,6,7,527,7,1
1,13,564,6,9,528,7,1
1,0,565,7,0,520,7,1
1,1,566,7,1,521,7,1
1,2,567,7,2,522,7,1
1,3,568,7,3,523,7,1
1,4,569,7,4,524,7,1
1,5,570,7,5,525,7,1
1,6,571,7,6,526,7,1
1,7,572,7,7,527,7,1
1,14,573,7,9,528,7,1
2,0,529,3,0,529,7,1
2,1,530,3,1,530,7,1
2,2,531,3,2,531,7,1
2,3,532,3,3,532,7,1
2,4,533,3,4,533,7,1
2,5,534,3,5,534,7,1
2,6,535,3,6,535,7,1
2,7,536,3,7,536,7,1
2,10,537,3,10,537,7,1
2,0,538,4,0,529,7,1
2,1,539,4,1,530,7,1
2,2,540,4,2,531,7,1
2,3,541,4,3,532,7,1
2,4,542,4,4,533,7,1
2,5,543,4,5,534,7,1
2,6,544,4,6,535,7,1
2,7,545,4,7,536,7,1
2,11,546,4,10,537,7,1
2,0,547,5,0,529,7,1
2,1,548,5,1,530,7,1
2,2,549,5,2,531,7,1
2,3,550,5,3,532,7,1
2,4,551,5,4,533,7,1
2,5,552,5,5,534,7,1
2,6,553,5,6,535,7,1
2,7,554,5,7,536,7,1
2,12,555,5,10,537,7,1
2,0,556,6,0,529,7,1
2,1,557,6,1,530,7,1
2,2,558,6,2,531,7,1
2,3,559,6,3,532,7,1
2,4,560,6,4,533,7,1
2,5,561,6,5,534,7,1
2,6,562,6,6,535,7,1
2,7,563,6,7,536,7,1
2,13,564,6,10,537,7,1
2,0,565,7,0,529,7,1
2,1,566,7,1,530,7,1
2,2,567,7,2,531,7,1
2,3,568,7,3,532,7,1
2,4,569,7,4,533,7,1
2,5,570,7,5,534,7,1
2,6,571,7,6,535,7,1
2,7,572,7,7,536,7,1
2,14,573,7,10,537,7,1
3,0,538,4,0,538,7,1
3,1,539,4,1,539,7,1
3,2,540,4,2,540,7,1
3,3,541,4,3,541,7,1
3,4,542,4,4,542,7,1
3,5,543,4,5,543,7,1
3,6,544,4,6,544,7,1
3,7,545,4,7,545,7,1
3,11,546,4,11,546,7,1
3,0,547,5,0,538,7,1
3,1,548,5,1,539,7,1
3,2,549,5,2,540,7,1
3,3,550,5,3,541,7,1
3,4,551,5,4,542,7,1
3,5,552,5,5,543,7,1
3,6,553,5,6,544,7,1
3,7,554,5,7,545,7,1
3,12,555,5,11,546,7,1
3,0,556,6,0,538,7,1
3,1,557,6,1,539,7,1
3,2,558,6,2,540,7,1
3,3,559,6,3,541,7,1
3,4,560,6,4,542,7,1
3,5,561,6,5,543,7,1
3,6,562,6,6,544,7,1
3,7,563,6,7,545,7,1
3,13,564,6,11,546,7,1
3,0,565,7,0,538,7,1
3,1,566,7,1,539,7,1
3,2,567,7,2,540,7,1
3,3,568,7,3,541,7,1
3,4,569,7,4,542,7,1
3,5,570,7,5,543,7,1
3,6,571,7,6,544,7,1
3,7,572,7,7,545,7,1
