taskId,sourceNodeId,destNodeId,dataSize(Byte),opType,priority,delay,phaseId,dependOnPhases,sourcePod,destPod,isCrossPod,logicalRound,basePlane,actualPlane,sourcePlanePrevPhase,recvPlanePrevPhase
0,0,1,1110454,URMA_WRITE,7,0ns,0,,0,0,0,,,,,
1,0,2,1128083,URMA_WRITE,7,0ns,1,,0,0,0,,,,,
2,0,3,1075620,URMA_WRITE,7,0ns,2,,0,0,0,,,,,
3,0,4,1048576,URMA_WRITE,6,0ns,3,10 124,0,1,1,2,3,3,10,124
4,0,5,1152400,URMA_WRITE,5,0ns,4,11 230,0,1,1,1,2,2,11,230
5,0,6,1174111,URMA_WRITE,6,0ns,5,156,0,1,1,0,3,3,,156
6,0,7,1089201,URMA_WRITE,3,0ns,6,7 127,0,1,1,1,0,0,7,127
7,0,8,1258291,URMA_WRITE,3,0ns,7,,0,2,1,0,0,0,,
8,0,9,1066012,URMA_WRITE,3,0ns,8,6 204,0,2,1,2,0,0,6,204
9,0,10,1053770,URMA_WRITE,5,0ns,9,4 99,0,2,1,2,2,2,4,99
10,0,11,1153850,URMA_WRITE,6,0ns,10,5 191,0,2,1,1,3,3,5,191
11,0,12,1192598,URMA_WRITE,5,0ns,11,146,0,3,1,0,2,2,,146
12,0,13,1124434,URMA_WRITE,4,0ns,12,13 117,0,3,1,1,1,1,13,117
13,0,14,1249158,URMA_WRITE,4,0ns,13,,0,3,1,0,1,1,,
14,0,15,1064002,URMA_WRITE,4,0ns,14,12 29,0,3,1,2,1,1,12,29
15,1,0,1106753,URMA_WRITE,7,0ns,15,,0,0,0,,,,,
16,1,2,1184979,URMA_WRITE,7,0ns,16,,0,0,0,,,,,
17,1,3,1189263,URMA_WRITE,7,0ns,17,,0,0,0,,,,,
18,1,4,1143012,URMA_WRITE,6,0ns,18,,0,1,1,0,2,3,,
19,1,5,1121106,URMA_WRITE,3,0ns,19,,0,1,1,0,3,0,,
20,1,6,1252981,URMA_WRITE,4,0ns,20,,0,1,1,0,0,1,,
21,1,7,1093838,URMA_WRITE,5,0ns,21,27 187,0,1,1,2,1,2,27,187
22,1,8,1076411,URMA_WRITE,6,0ns,22,23 112,0,2,1,2,2,3,23,112
23,1,9,1117184,URMA_WRITE,6,0ns,23,18 219,0,2,1,1,2,3,18,219
24,1,10,1104779,URMA_WRITE,4,0ns,24,20 220,0,2,1,1,0,1,20,220
25,1,11,1055297,URMA_WRITE,3,0ns,25,28 100,0,2,1,2,3,0,28,100
26,1,12,1216528,URMA_WRITE,5,0ns,26,,0,3,1,0,1,2,,
27,1,13,1116800,URMA_WRITE,5,0ns,27,26 177,0,3,1,1,1,2,26,177
28,1,14,1119813,URMA_WRITE,3,0ns,28,19 148,0,3,1,1,3,0,19,148
29,1,15,1099283,URMA_WRITE,4,0ns,29,24 59,0,3,1,2,0,1,24,59
30,2,0,1091782,URMA_WRITE,7,0ns,30,,0,0,0,,,,,
31,2,1,1129801,URMA_WRITE,7,0ns,31,,0,0,0,,,,,
32,2,3,1124503,URMA_WRITE,7,0ns,32,,0,0,0,,,,,
33,2,4,1212933,URMA_WRITE,3,0ns,33,169,0,1,1,0,2,0,,169
34,2,5,1240437,URMA_WRITE,5,0ns,34,,0,1,1,0,0,2,,
35,2,6,1146196,URMA_WRITE,6,0ns,35,39 186,0,1,1,1,1,3,39,186
36,2,7,1071308,URMA_WRITE,4,0ns,36,41 232,0,1,1,2,3,1,41,232
37,2,8,1207396,URMA_WRITE,4,0ns,37,82,0,2,1,0,3,1,,82
38,2,9,1137024,URMA_WRITE,5,0ns,38,34 189,0,2,1,1,0,2,34,189
39,2,10,1224658,URMA_WRITE,6,0ns,39,,0,2,1,0,1,3,,
40,2,11,1150270,URMA_WRITE,3,0ns,40,33 236,0,2,1,1,2,0,33,236
41,2,12,1181208,URMA_WRITE,4,0ns,41,37,0,3,1,1,3,1,37,
42,2,13,1113816,URMA_WRITE,5,0ns,42,38 27,0,3,1,2,0,2,38,27
43,2,14,1095182,URMA_WRITE,3,0ns,43,40 28,0,3,1,2,2,0,40,28
44,2,15,1113410,URMA_WRITE,6,0ns,44,35,0,3,1,2,1,3,35,
45,3,0,1172724,URMA_WRITE,7,0ns,45,,0,0,0,,,,,
46,3,1,1121975,URMA_WRITE,7,0ns,46,,0,0,0,,,,,
47,3,2,1071997,URMA_WRITE,7,0ns,47,,0,0,0,,,,,
48,3,4,1192136,URMA_WRITE,5,0ns,48,,0,1,1,0,3,2,,
49,3,5,1127283,URMA_WRITE,6,0ns,49,54 170,0,1,1,2,0,3,54,170
50,3,6,1050466,URMA_WRITE,5,0ns,50,56 201,0,1,1,2,3,2,56,201
51,3,7,1125106,URMA_WRITE,3,0ns,51,58 6,0,1,1,2,1,0,58,6
52,3,8,1198618,URMA_WRITE,4,0ns,52,37,0,2,1,0,2,1,,37
53,3,9,1233363,URMA_WRITE,3,0ns,53,68,0,2,1,0,1,0,,68
54,3,10,1130302,URMA_WRITE,6,0ns,54,55 39,0,2,1,1,0,3,55,39
55,3,11,1249170,URMA_WRITE,6,0ns,55,,0,2,1,0,0,3,,
56,3,12,1181842,URMA_WRITE,5,0ns,56,48 11,0,3,1,1,3,2,48,11
57,3,13,1099726,URMA_WRITE,4,0ns,57,59 12,0,3,1,2,2,1,59,12
58,3,14,1157089,URMA_WRITE,3,0ns,58,53 88,0,3,1,1,1,0,53,88
59,3,15,1159654,URMA_WRITE,4,0ns,59,52 89,0,3,1,1,2,1,52,89
60,4,0,1205577,URMA_WRITE,5,0ns,60,,1,0,1,0,2,2,,
61,4,1,1124126,URMA_WRITE,4,0ns,61,73 211,1,0,1,1,1,1,73,211
62,4,2,1161571,URMA_WRITE,5,0ns,62,60 227,1,0,1,1,2,2,60,227
63,4,3,1166900,URMA_WRITE,6,0ns,63,72 138,1,0,1,1,3,3,72,138
64,4,5,1090865,URMA_WRITE,7,0ns,64,,1,1,0,,,,,
65,4,6,1109714,URMA_WRITE,7,0ns,65,,1,1,0,,,,,
66,4,7,1128559,URMA_WRITE,7,0ns,66,,1,1,0,,,,,
67,4,8,1116643,URMA_WRITE,3,0ns,67,74 7,1,2,1,2,0,0,74,7
68,4,9,1257607,URMA_WRITE,3,0ns,68,,1,2,1,0,0,0,,
69,4,10,1059910,URMA_WRITE,6,0ns,69,63 205,1,2,1,2,3,3,63,205
70,4,11,1069829,URMA_WRITE,4,0ns,70,61 85,1,2,1,2,1,1,61,85
71,4,12,1060719,URMA_WRITE,5,0ns,71,62 86,1,3,1,2,2,2,62,86
72,4,13,1169862,URMA_WRITE,6,0ns,72,132,1,3,1,0,3,3,,132
73,4,14,1212770,URMA_WRITE,4,0ns,73,133,1,3,1,0,1,1,,133
74,4,15,1122089,URMA_WRITE,3,0ns,74,68,1,3,1,1,0,0,68,
75,5,0,1184595,URMA_WRITE,6,0ns,75,87 195,1,0,1,1,2,3,87,195
76,5,1,1188723,URMA_WRITE,3,0ns,76,88 121,1,0,1,1,3,0,88,121
77,5,2,1218444,URMA_WRITE,5,0ns,77,122,1,0,1,0,1,2,,122
78,5,3,1172108,URMA_WRITE,5,0ns,78,77 168,1,0,1,1,1,2,77,168
79,5,4,1232307,URMA_WRITE,7,0ns,79,,1,1,0,,,,,
80,5,6,1138450,URMA_WRITE,7,0ns,80,,1,1,0,,,,,
81,5,7,1086603,URMA_WRITE,7,0ns,81,,1,1,0,,,,,
82,5,8,1225203,URMA_WRITE,4,0ns,82,,1,2,1,0,0,1,,
83,5,9,1099844,URMA_WRITE,6,0ns,83,75 23,1,2,1,2,2,3,75,23
84,5,10,1065992,URMA_WRITE,3,0ns,84,76,1,2,1,2,3,0,76,
85,5,11,1156787,URMA_WRITE,4,0ns,85,89 206,1,2,1,2,0,1,89,206
