taskId,sourceNodeId,destNodeId,dataSize(Byte),opType,priority,delay,phaseId,dependOnPhases,taskStartTime(us),taskCompletesTime(us),firstPacketSends(us),lastPacketACKs(us),taskThroughput(Gbps)
0,0,1,8521761,URMA_WRITE,7,0ns,0,,0.0,176.66172,0.0,0.0,385.9019
1,1,2,8521761,URMA_WRITE,7,0ns,1,,0.0,176.66172,0.0,0.0,385.9019
2,2,3,8521761,URMA_WRITE,7,0ns,2,,0.0,176.66172,0.0,0.0,385.9019
3,3,4,8521761,URMA_WRITE,7,0ns,3,,0.0,176.66172,0.0,0.0,385.9019
4,4,5,8521761,URMA_WRITE,7,0ns,4,,0.0,176.66172,0.0,0.0,385.9019
5,5,6,8521761,URMA_WRITE,7,0ns,5,,0.0,176.66172,0.0,0.0,385.9019
6,6,7,8521761,URMA_WRITE,7,0ns,6,,0.0,176.66172,0.0,0.0,385.9019
7,7,0,8521761,URMA_WRITE,7,0ns,7,,0.0,176.66172,0.0,0.0,385.9019
8,8,9,8521761,URMA_WRITE,7,0ns,8,,0.0,176.66172,0.0,0.0,385.9019
9,9,10,8521761,URMA_WRITE,7,0ns,9,,0.0,176.66172,0.0,0.0,385.9019
10,10,11,8521761,URMA_WRITE,7,0ns,10,,0.0,176.66172,0.0,0.0,385.9019
11,11,12,8521761,URMA_WRITE,7,0ns,11,,0.0,176.66172,0.0,0.0,385.9019
12,12,13,8521761,URMA_WRITE,7,0ns,12,,0.0,176.66172,0.0,0.0,385.9019
13,13,14,8521761,URMA_WRITE,7,0ns,13,,0.0,176.66172,0.0,0.0,385.9019
14,14,15,8521761,URMA_WRITE,7,0ns,14,,0.0,176.66172,0.0,0.0,385.9019
15,15,8,8521761,URMA_WRITE,7,0ns,15,,0.0,176.66172,0.0,0.0,385.9019
16,16,17,8521761,URMA_WRITE,7,0ns,16,,0.0,176.66172,0.0,0.0,385.9019
17,17,18,8521761,URMA_WRITE,7,0ns,17,,0.0,176.66172,0.0,0.0,385.9019
18,18,19,8521761,URMA_WRITE,7,0ns,18,,0.0,176.66172,0.0,0.0,385.9019
19,19,20,8521761,URMA_WRITE,7,0ns,19,,0.0,176.66172,0.0,0.0,385.9019
