taskId,sourceNodeId,destNodeId,dataSize(Byte),opType,priority,delay,phaseId,dependOnPhases,sourcePod,destPod,isCrossPod,logicalRound,basePlane,actualPlane,sourcePlanePrevPhase,recvPlanePrevPhase
0,0,1,2038633,URMA_WRITE,7,0ns,0,,0,0,0,,,,,
1,0,2,2320702,URMA_WRITE,7,0ns,1,,0,0,0,,,,,
2,0,3,1481285,URMA_WRITE,7,0ns,2,,0,0,0,,,,,
3,0,4,1048576,URMA_WRITE,6,0ns,3,10 154,0,1,1,2,3,3,10,154
4,0,5,3057137,URMA_WRITE,4,0ns,4,,0,1,1,0,1,1,,
5,0,6,1698576,URMA_WRITE,3,0ns,5,7,0,1,1,1,0,0,7,
6,0,7,1426483,URMA_WRITE,3,0ns,6,5 36,0,1,1,2,0,0,5,36
7,0,8,3145728,URMA_WRITE,3,0ns,7,,0,2,1,0,0,0,,
8,0,9,1131695,URMA_WRITE,5,0ns,8,14 23,0,2,1,2,2,2,14,23
9,0,10,2732970,URMA_WRITE,5,0ns,9,205,0,2,1,0,2,2,,205
10,0,11,2262305,URMA_WRITE,6,0ns,10,13 85,0,2,1,1,3,3,13,85
11,0,12,1295398,URMA_WRITE,4,0ns,11,12 116,0,3,1,2,1,1,12,116
12,0,13,1979410,URMA_WRITE,4,0ns,12,4 132,0,3,1,1,1,1,4,132
13,0,14,2559552,URMA_WRITE,6,0ns,13,,0,3,1,0,3,3,,
14,0,15,2209067,URMA_WRITE,5,0ns,14,9 134,0,3,1,1,2,2,9,134
15,1,0,1772783,URMA_WRITE,7,0ns,15,,0,0,0,,,,,
16,1,2,1493941,URMA_WRITE,7,0ns,16,,0,0,0,,,,,
17,1,3,2146307,URMA_WRITE,7,0ns,17,,0,0,0,,,,,
18,1,4,1947836,URMA_WRITE,4,0ns,18,29,0,1,1,1,0,1,29,
19,1,5,1156116,URMA_WRITE,3,0ns,19,25 185,0,1,1,2,3,0,25,185
20,1,6,2140161,URMA_WRITE,5,0ns,20,26,0,1,1,1,1,2,26,
21,1,7,2188368,URMA_WRITE,6,0ns,21,28 127,0,1,1,1,2,3,28,127
22,1,8,1859903,URMA_WRITE,4,0ns,22,18 112,0,2,1,2,0,1,18,112
23,1,9,1739873,URMA_WRITE,5,0ns,23,20 234,0,2,1,2,1,2,20,234
24,1,10,2348180,URMA_WRITE,3,0ns,24,235,0,2,1,0,3,0,,235
25,1,11,2263417,URMA_WRITE,3,0ns,25,24,0,2,1,1,3,0,24,
26,1,12,2610505,URMA_WRITE,5,0ns,26,161,0,3,1,0,1,2,,161
27,1,13,1412298,URMA_WRITE,6,0ns,27,21 57,0,3,1,2,2,3,21,57
28,1,14,2463744,URMA_WRITE,6,0ns,28,13,0,3,1,0,2,3,,13
29,1,15,2675680,URMA_WRITE,4,0ns,29,,0,3,1,0,0,1,,
30,2,0,2092427,URMA_WRITE,7,0ns,30,,0,0,0,,,,,
31,2,1,1794282,URMA_WRITE,7,0ns,31,,0,0,0,,,,,
32,2,3,2085920,URMA_WRITE,7,0ns,32,,0,0,0,,,,,
33,2,4,3034947,URMA_WRITE,5,0ns,33,,0,1,1,0,0,2,,
34,2,5,2222971,URMA_WRITE,5,0ns,34,43 140,0,1,1,2,0,2,43,140
35,2,6,1423321,URMA_WRITE,3,0ns,35,36 5,0,1,1,2,2,0,36,5
36,2,7,2307897,URMA_WRITE,3,0ns,36,42 157,0,1,1,1,2,0,42,157
37,2,8,1078822,URMA_WRITE,4,0ns,37,39 52,0,2,1,2,3,1,39,52
38,2,9,2273068,URMA_WRITE,6,0ns,38,44 189,0,2,1,1,1,3,44,189
39,2,10,2356201,URMA_WRITE,4,0ns,39,41,0,2,1,1,3,1,41,
40,2,11,1866990,URMA_WRITE,6,0ns,40,38 100,0,2,1,2,1,3,38,100
41,2,12,2784791,URMA_WRITE,4,0ns,41,,0,3,1,0,3,1,,
42,2,13,2825832,URMA_WRITE,3,0ns,42,,0,3,1,0,2,0,,
43,2,14,2257389,URMA_WRITE,5,0ns,43,33 88,0,3,1,1,0,2,33,88
